dataset_key,dataset_name,model,train_size,train_acc,val_acc_cv,test_acc
adult_income,Adult Income,decision_tree,0.2,0.8539166666666667,0.8492512933330785,0.8460416666666667
adult_income,Adult Income,decision_tree,0.5,0.8615333333333334,0.8467669602393153,0.8491333333333334
adult_income,Adult Income,decision_tree,0.8,0.8666041666666667,0.852187416819163,0.8526666666666666
adult_income,Adult Income,knn,0.2,0.9525,0.8270840823649191,0.8300208333333333
adult_income,Adult Income,knn,0.5,0.8611666666666666,0.8365670000313369,0.8350666666666666
adult_income,Adult Income,knn,0.8,0.8618958333333334,0.835895813823322,0.8354166666666667
adult_income,Adult Income,log_reg,0.2,0.8548333333333332,0.8460837723173921,0.8482708333333333
adult_income,Adult Income,log_reg,0.5,0.8540666666666666,0.8494666203272997,0.8508666666666667
adult_income,Adult Income,log_reg,0.8,0.8522916666666666,0.8502083529951906,0.8518333333333333
breast_cancer,Breast Cancer (Diagnostic),decision_tree,0.2,0.9705014749262538,0.9115694642010431,0.9035087719298245
breast_cancer,Breast Cancer (Diagnostic),decision_tree,0.5,0.9859154929577465,0.9213761353738957,0.9391812865497076
breast_cancer,Breast Cancer (Diagnostic),decision_tree,0.8,0.9838827838827839,0.9347769257581038,0.9239766081871345
breast_cancer,Breast Cancer (Diagnostic),knn,0.2,0.9705014749262536,0.9472103682629998,0.939327485380117
breast_cancer,Breast Cancer (Diagnostic),knn,0.5,0.9589201877934271,0.9554062461117333,0.9649122807017544
breast_cancer,Breast Cancer (Diagnostic),knn,0.8,0.9816849816849818,0.9641038302157159,0.9590643274853802
breast_cancer,Breast Cancer (Diagnostic),log_reg,0.2,0.9911504424778762,0.9586691955113008,0.9678362573099415
breast_cancer,Breast Cancer (Diagnostic),log_reg,0.5,0.9917840375586855,0.9753514993156651,0.9766081871345028
breast_cancer,Breast Cancer (Diagnostic),log_reg,0.8,0.9860805860805861,0.9794934355756942,0.9766081871345028
digits,Digits (5–9 vs 0–4),decision_tree,0.2,0.9851720047449585,0.8603256090314914,0.8709223013048636
digits,Digits (5–9 vs 0–4),decision_tree,0.5,0.9965599051008304,0.909134317663311,0.9023724792408067
digits,Digits (5–9 vs 0–4),decision_tree,0.8,0.9883600237247924,0.9094006596297843,0.9042111506524318
digits,Digits (5–9 vs 0–4),knn,0.2,0.9833926453143534,0.9706468607645079,0.9724199288256227
digits,Digits (5–9 vs 0–4),knn,0.5,0.9909845788849347,0.9823244761878699,0.9845788849347569
digits,Digits (5–9 vs 0–4),knn,0.8,0.99288256227758,0.9855430495670406,0.9899169632265717
digits,Digits (5–9 vs 0–4),log_reg,0.2,0.8896797153024911,0.8736739948504656,0.867511862396204
digits,Digits (5–9 vs 0–4),log_reg,0.5,0.8909845788849348,0.8800715240594288,0.872479240806643
digits,Digits (5–9 vs 0–4),log_reg,0.8,0.8820432977461446,0.8765567788405443,0.8840450771055753
mushroom,Mushroom (Poisonous vs Edible),decision_tree,0.2,0.9997947454844006,0.9993842359865374,0.998102564102564
mushroom,Mushroom (Poisonous vs Edible),decision_tree,0.5,1.0,0.9995896930904316,1.0
mushroom,Mushroom (Poisonous vs Edible),decision_tree,0.8,1.0,0.9997436291852536,1.0
mushroom,Mushroom (Poisonous vs Edible),knn,0.2,0.9997947454844006,0.9991788550048163,0.9984615384615384
mushroom,Mushroom (Poisonous vs Edible),knn,0.5,1.0,0.9997538158542589,1.0
mushroom,Mushroom (Poisonous vs Edible),knn,0.8,1.0,0.9997436291852536,1.0
mushroom,Mushroom (Poisonous vs Edible),log_reg,0.2,1.0,0.9989742318864964,0.9986666666666667
mushroom,Mushroom (Poisonous vs Edible),log_reg,0.5,1.0,0.9995076317085179,1.0
mushroom,Mushroom (Poisonous vs Edible),log_reg,0.8,0.9999487100579576,0.9997436291852536,0.9995897435897435
shuttle,Statlog Shuttle (1 vs Others),decision_tree,0.2,0.9987333333333334,0.9975332966210039,0.9979166666666667
shuttle,Statlog Shuttle (1 vs Others),decision_tree,0.5,0.9987333333333334,0.9981866581278721,0.9984666666666667
shuttle,Statlog Shuttle (1 vs Others),decision_tree,0.8,0.9987666666666667,0.9984500049979376,0.9987333333333334
shuttle,Statlog Shuttle (1 vs Others),knn,0.2,0.9990333333333333,0.9971000199400063,0.9972333333333333
shuttle,Statlog Shuttle (1 vs Others),knn,0.5,0.9992133333333334,0.9978666645265922,0.9981066666666667
shuttle,Statlog Shuttle (1 vs Others),knn,0.8,0.9990666666666667,0.9981166645810312,0.9979333333333334
shuttle,Statlog Shuttle (1 vs Others),log_reg,0.2,0.9670666666666667,0.9665003392960773,0.9688
shuttle,Statlog Shuttle (1 vs Others),log_reg,0.5,0.9692,0.9687600238990761,0.9707066666666666
shuttle,Statlog Shuttle (1 vs Others),log_reg,0.8,0.9703166666666667,0.9697583272540165,0.9700666666666667
